,level_0,State,County,Est. Citizen VAP,Active Registrations,Ballots Counted,Polling Places,Poll Workers,Year,Hours Open,Time to Vote
1650,1650,NJ,Salem,48741,42242,29950,30,160,2004,12,81.81237128044883
1651,1651,NJ,Somerset,208458,153431,140907,123,1116,2004,12,644.1482871891131
1652,1652,NJ,Sussex,111925,83800,69651,79,658,2004,12,446.61805945036457
1653,1653,NJ,Union,331409,249089,204759,190,1900,2004,12,1043.4782608695652
1654,1654,NJ,Warren,81392,58311,48448,49,348,2004,12,210.54740019207026
1655,1655,NM,Chaves,40726,30865,12728,46,280,2004,12,300.4470938897168
1656,1656,NM,Cibola,18914,14607,8003,30,130,2004,12,192.22343921139102
1657,1657,NM,Colfax,10451,7989,6259,21,90,2004,12,170.31289111389236
1658,1658,NM,De Baca,1611,1360,1084,4,21,2004,12,44.43791329904482
1659,1659,NM,Dona Ana,115094,90711,63777,78,616,2004,12,381.366963577035
1660,1660,NM,Eddy,36501,24743,20340,41,168,2004,12,200.42677012609118
1661,1661,NM,Grant,21970,22082,13632,35,170,2004,12,193.99538106235565
1662,1662,NM,Lea,36169,24236,18332,45,255,2004,12,340.8837727441515
1663,1663,NM,Lincoln,15941,11688,9273,19,98,2004,12,114.69244588929763
1664,1664,NM,Luna,15854,11232,7625,16,58,2004,12,59.481883735422414
1665,1665,NM,McKinley,45302,34732,22223,69,301,2004,12,430.5323467595658
1666,1666,NM,Quay,7194,5687,4135,15,65,2004,12,123.41772151898734
1667,1667,NM,Rio Arriba,28481,23936,15590,43,291,2004,12,376.3779922296027
1668,1668,NM,Roosevelt,12732,11591,7312,20,89,2004,12,110.55900621118012
1669,1669,NM,Santa Fe,99987,83953,67782,50,554,2004,12,237.55866307739953
1670,1670,NM,Sierra,10342,7843,5286,10,53,2004,12,48.648648648648646
1671,1671,NM,Socorro,12799,11991,8158,19,112,2004,12,127.76517678452302
1672,1672,NM,Torrance,12019,9796,6752,14,84,2004,12,86.42645707869757
1673,1673,NM,Union,2745,2449,1894,9,43,2004,12,113.73061224489796
1674,1674,NM,Valencia,46620,32902,26097,23,245,2004,12,123.30790505425037
1675,1675,NC,Alamance,98561,75587,54885,37,492,2004,12,173.39895221463723
1676,1676,NC,Alexander,26399,21783,15983,16,112,2004,12,59.22879177377892
1677,1677,NC,Alleghany,8577,6238,5005,7,39,2004,12,31.50504888603943
1678,1678,NC,Anson,18680,14148,9366,11,91,2004,12,50.93787546823097
1679,1679,NC,Ashe,20062,18643,12016,17,88,2004,12,57.77301008367303
1680,1680,NC,Avery,14048,11462,7578,19,75,2004,12,89.50536508767338
1681,1681,NC,Beaufort,34199,28063,20011,21,127,2004,12,68.4236031927024
1682,1682,NC,Bertie,14381,13195,8256,12,61,2004,12,39.939375568354045
1683,1683,NC,Bladen,24211,19543,12439,17,110,2004,12,68.89070814572247
1684,1684,NC,Brunswick,65627,55432,38413,23,250,2004,12,74.68475456857828
