,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64,State Name,Active Voters,Ballots Cast,Polling Places,Poll Workers,Hours Open,Time to Vote
524,Livingston,MI,191224,74327,74780,10596,20623,21679,29333,20546,9677,2895,191224,186265,2025,1718,2748,0,624,20086,25362,30427,MICHIGAN,134829,98702,50.0,689.0,12,183.96635738600864
525,Marquette,MI,66516,26667,27005,7707,7497,7023,7361,7517,3807,1500,66516,63806,1412,2038,859,0,462,7322,7678,9104,MICHIGAN,43357,30471,31.0,268.0,12,137.96526512440022
526,Forrest,MS,75036,25800,30285,9394,9630,9334,7734,6342,2829,1195,75036,45691,28825,0,928,193,0,8672,11780,8126,MISSISSIPPI,46167,22850,35.0,175.0,12,95.52277600881679
527,Gallatin,MT,111876,45143,42140,13273,17798,15339,11384,9244,4076,1108,111876,107994,1013,2499,2678,0,713,11990,14817,12847,MONTANA,70187,56229,15.0,256.0,12,39.391910182791776
528,Monmouth,NJ,621354,223209,242290,36881,67041,71733,92287,62724,31911,14565,621354,529284,52532,1297,39694,0,11159,63194,83208,97810,NEW JERSEY,427611,267504,250.0,1791.0,12,753.9095112146143
529,Warren,NJ,105779,40417,42031,6077,11653,11793,16415,10794,5544,2855,105779,95143,6856,513,3682,0,3189,10023,13547,17078,NEW JERSEY,68618,41575,46.0,423.0,12,204.17033431458157
530,Sandoval,NM,145179,52803,56854,7940,18236,18245,18300,16289,7380,2094,145179,113204,4045,19781,3179,1441,7112,16164,20281,20250,NEW MEXICO,55721,55623,54.0,106.0,12,73.96277884458752
531,Schenectady,NY,155350,57747,61526,11470,17988,20252,19447,14836,7702,4314,155350,124761,21370,2029,9234,0,5712,17064,21063,21214,NEW YORK,93776,55986,60.0,492.0,12,226.65074219414063
532,Carteret,NC,69524,26848,29123,2933,7179,7071,9412,10770,5072,1613,69524,64835,4959,452,1194,0,0,6114,7809,11551,NORTH CAROLINA,44994,28853,29.0,112.0,12,51.97492999065387
533,Mecklenburg,NC,1093901,344449,395844,71303,186303,160122,147265,76140,33649,12802,1093901,599945,367410,9831,76652,1001,71235,145752,139934,120631,NORTH CAROLINA,628180,378267,196.0,1967.0,12,441.88455538220825
534,Robeson,NC,131831,45236,50403,8731,16865,16135,15868,12367,5164,2330,131831,37951,33042,55026,1024,0,7512,18279,19079,17013,NORTH CAROLINA,58044,31688,40.0,255.0,12,126.52470539588477
535,Rockingham,NC,90690,32588,36137,4530,11092,9479,12091,10751,5492,2390,90690,69145,18397,1003,387,0,4259,8616,12160,14089,NORTH CAROLINA,50893,32575,16.0,168.0,12,38.02801957046391
536,Allen,OH,102663,39832,39185,7334,12169,11515,12463,10071,5928,1931,102663,88280,14969,869,1175,0,1291,12851,13971,14430,OHIO,69338,36660,38.0,654.0,12,258.0610920418446
537,Erie,OH,74615,28458,30743,4287,8599,8218,9591,9152,4287,2718,74615,65305,8707,1399,0,0,1037,7751,8585,11427,OHIO,54213,31056,41.0,247.0,12,134.49615405896475
538,Geauga,OH,94031,35678,36750,5401,8062,9668,12912,11093,6387,2027,94031,91720,1377,311,881,0,0,10422,13563,14496,OHIO,66730,43510,33.0,397.0,12,141.3565113142303
