,County,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Voters,Workers,Locations,Hours,eff_score,timeToVote,differenceFromNorm,white_professional_corr,Black_Service_corr,White_Carpool_corr,Professional_Hispanic_corr,Professional_Black_corr,Hispanic_Construction_corr,Black_Construction_corr,Professional_Construction_corr,Service_Construction_corr,White_Professional_corr,Service_Carpool_corr,Black_Hispanic_corr,Black_Carpool_corr,Professional_Service_corr,Service_Hispanic_corr,White_Black_corr,Professional_Carpool_corr,White_Construction_corr,White_Hispanic_corr,Hispanic_Carpool_corr,White_Service_corr,Construction_Carpool_corr
98,howard,35.15,55.05,4.85,0.3,0.0,0.0,2459.5,50572.5,8053.0,24902.0,4193.5,13.65,20.65,25.4,19.2,20.4,13.45,14.45,78.75,17.3,0.0,0.8500000000000001,0.4,1.9,18.15,1465.5,70.3,21.4,3.75,0.0,6.85,16893.0,23.0,6.0,12.0,0.09802876931273309,5.8817261587639855,,,,,,,,,,,,,,,,,,,,,,,
99,hudspeth,78.4,19.3,1.1,0.0,0.8,0.0,1546.0,26384.0,2873.0,15990.0,2746.0,40.3,63.8,24.0,30.4,15.6,17.7,12.3,69.9,14.0,0.0,1.5,4.0,10.6,22.9,1141.0,57.6,33.0,9.3,0.1,5.7,1856.0,20.0,5.0,12.0,0.646551724137931,38.793103448275865,1.0499649471687462,0.39352964583656985,0.1434366583619743,0.5453526121665615,-0.3839236300618427,-0.3770366234167872,-0.2751218089994161,-0.09882479852064327,0.48104691740399774,-0.19811049571103162,0.39352964583656985,-0.052811740967607636,0.49354064856529234,-0.4934922992777164,-0.41727301370651687,0.18473424465695126,-0.8755031057678505,0.010832691854595034,0.2506262928422436,-0.7688452979573752,-0.48050585880626634,-0.2997310596698934,0.03080065827968273
100,hutchinson,22.0,71.2,3.1,1.1,0.4,0.0,2370.0,47232.0,6196.0,26450.0,3810.0,10.6,17.8,24.0,16.4,21.8,18.9,16.8,84.6,11.5,0.0,0.5,0.8,2.2,17.3,1556.0,82.4,11.1,6.3,0.0,5.6,13509.0,38.0,8.0,12.0,0.270042194092827,16.202531645569618,0.24159117697002408,0.5906659064854467,0.3728025606256038,-0.37911642876261836,-0.5026840571577252,-0.6572176176052592,-0.32053533522990774,0.06010459646999465,-0.21288700611652173,-0.30760221114148445,0.5906659064854467,-0.43792444457879565,0.690266226141134,0.4216813129591941,-0.6851915951942079,0.3299734421736107,-0.9437249054302087,0.2788697424281371,0.18682293409182343,-0.8524440932076603,0.24250643122074172,-0.432636975235422,0.08892786739837746
101,irion,25.1,71.7,0.0,0.0,0.0,0.0,1258.0,58500.0,7101.0,30963.0,4352.0,11.6,19.9,36.8,12.3,19.9,13.8,17.3,79.4,0.9,0.4,4.4,1.1,13.8,22.9,805.0,57.9,21.1,18.5,2.5,4.4,1314.0,11.0,1.0,12.0,0.1004566210045662,6.027397260273972,0.11831873391765291,0.11032414123151738,0.6761948503130133,-0.057668454177964304,-0.11366941673430227,-0.1853468932441558,-0.11646585573476179,-0.03057030093735731,-0.37160241150993956,0.290189285090014,0.11032414123151738,-0.23275848860877227,-0.42855014210202586,-0.5669108980073482,-0.46511332522897864,-0.28486936561597614,0.3073151727875407,0.06764562447529832,0.04425713193055093,-0.787177683369981,-0.2427030698831459,0.03679738248412157,-0.044046606459791436
102,jack,18.3,78.6,2.3,0.2,0.0,0.0,2326.0,50625.0,10566.0,24490.0,3487.0,15.2,33.0,26.1,13.7,20.3,20.3,19.8,84.8,10.8,0.0,0.7,0.9,5.3,27.0,1160.0,78.1,15.4,8.0,0.3,5.1,5079.0,14.0,4.0,12.0,0.132309509746013,7.93857058476078,-0.02747197173170912,0.6771412525990509,0.22826278482658827,-0.1760823711288002,-0.5966122319942533,-0.3974803638782979,0.06273065556746155,0.10012522114362733,-0.5253082906824847,-0.4971173912463718,0.6771412525990509,-0.27085238364095954,0.04937113021809707,0.2860002576373676,-0.30999925614522994,0.5680048124187171,-0.4215914949945791,-0.600992255199035,-0.08507750715576853,-0.9129986781702842,0.09710361139070112,-0.6415340119154517,0.8381978453475406
103,jackson,32.3,63.6,3.0,0.0,0.2,0.0,3570.0,55709.0,6018.0,25378.0,2449.0,12.2,14.6,27.1,15.4,19.6,13.8,22.0,77.8,12.4,0.0,0.9,0.4,4.5,24.9,2184.0,72.4,11.6,10.0,0.2,6.2,10174.0,24.0,9.0,12.0,0.25476705327304894,15.286023196382937,1.5973468230325323,0.37655027616422904,0.9955265386131763,-0.5703892484247931,0.35971506076775894,-0.9868917850991364,0.9725924490080524,0.02879011518089482,0.13290378336972378,-0.06578184259251428,0.37655027616422904,0.9882509754590381,-0.20441907985364996,0.9982707350482264,-0.9977248434540199,-0.2959918108643967,-0.5211193478992482,-0.975698451676727,-0.8681331154723865,-0.7289344589094148,-0.1465230585543375,-0.43814899994645495,0.08749979975008264
104,jefferson,13.5,30.05,34.25,0.0,1.15,0.0,2127.0,41328.0,7695.0,21808.5,3590.0,19.1,29.4,25.5,21.2,24.4,13.1,15.2,87.0,8.0,0.0,0.6,1.0,1.1,18.8,1239.0,82.8,13.2,3.9,0.0,9.0,149172.0,226.0,39.0,12.0,0.7090338669455394,42.542032016732364,0.1147082290069093,0.6969148267393745,0.09325755328694792,-0.36937250978147346,-0.701018678749644,-0.30903520544716756,0.37953943003785306,-0.08758692996462757,-0.5378517797850051,-0.0693850306080987,0.6969148267393745,0.3610607029835999,0.15225284085871463,0.1981426801072538,-0.5505051341561021,0.3226270193606834,-0.6646528450771693,-0.3773614193446278,-0.24202678598052121,-0.8335016113597172,0.3345062701819346,-0.2790891176311995,0.09762585172584196
105,johnson,16.05,79.95,2.05,0.15000000000000002,0.35,0.0,3670.0,58558.5,9255.0,24960.5,3286.0,10.899999999999999,14.35,29.049999999999997,15.7,23.950000000000003,12.2,16.4,85.75,8.3,0.0,0.95,0.8500000000000001,3.35,30.5,2341.5,81.4,12.5,5.4,0.0,7.55,97281.0,159.0,28.0,12.0,0.5491719863077066,32.950319178462394,,,,,,,,,,,,,,,,,,,,,,,
106,jones,26.9,65.0,4.0,0.1,0.0,0.0,1960.0,44318.0,13328.0,19555.0,6655.5,18.7,21.6,28.7,19.9,26.1,14.3,11.0,81.0,13.2,0.0,1.7,1.5,3.7,20.3,819.0,68.8,23.7,10.1,0.0,4.8,9565.0,32.0,10.0,12.0,0.4014636696288552,24.087820177731313,0.003619381863734339,0.7974200917099102,0.6725414574926796,-0.5226352474447714,-0.7025497049335783,-0.6272021508672964,0.6349270068660491,0.17506807478257058,-0.7824616560425942,0.4468447559331221,0.7974200917099102,0.38686276952486565,0.3593826361882378,0.49839672839357985,-0.7977616933753102,0.6675597407310685,-0.8155394859044274,-0.47804464435833627,-0.4705084407885717,-0.82586074305205,0.3726465762145319,-0.8180843712711141,0.3986237562576749
107,karnes,59.0,33.2,1.3499999999999999,0.0,0.15,0.0,2351.0,45807.0,13028.5,26884.5,5434.5,21.75,34.25,26.65,16.549999999999997,23.1,15.6,11.8,82.65,10.649999999999999,0.0,1.55,1.2,2.7,25.549999999999997,1345.5,67.95,24.299999999999997,8.05,0.5,4.3,8071.0,43.0,14.0,12.0,0.8950563746747615,53.70338248048569,,,,,,,,,,,,,,,,,,,,,,,
