,State,County,Unnamed: 0,Tract,Drive,Carpooled,Transit,Walked,Other,MBSA,Service,Office,Construction,Production,IRural,IConstruction,IManufacturing,IWholesale,IRetail,IUtilities,IInformation,IFinance,IProfessional,ISocial,IRecreation,IOther,IPublic
1507,missouri,grundy,3661170,192050.0,16110.0,3230.0,45.0,1320.0,400.0,5540.0,4525.0,5135.0,3125.0,4505.0,2600.0,1350.0,3135.0,680.0,3100.0,1110.0,230.0,1225.0,830.0,5260.0,1040.0,875.0,1395.0
1508,missouri,harrison,2746140,142530.0,15035.0,2105.0,215.0,350.0,135.0,4850.0,3550.0,4240.0,3795.0,3350.0,2520.0,1940.0,1855.0,610.0,2840.0,1275.0,135.0,600.0,680.0,3985.0,1020.0,870.0,1455.0
1509,missouri,henry,5492955,285105.0,38060.0,6440.0,370.0,885.0,220.0,12780.0,9645.0,10730.0,6650.0,8645.0,1595.0,4960.0,6700.0,1095.0,6395.0,2655.0,620.0,2330.0,2025.0,11540.0,3320.0,2480.0,2735.0
1510,missouri,hickory,2746815,70545.0,12955.0,1870.0,50.0,250.0,180.0,4385.0,3425.0,4040.0,2310.0,2945.0,1480.0,1795.0,1365.0,325.0,2655.0,1365.0,445.0,525.0,950.0,2885.0,1575.0,720.0,1020.0
1511,missouri,holt,2747040,144030.0,9055.0,1365.0,0.0,385.0,35.0,3435.0,2150.0,2510.0,1655.0,2020.0,1445.0,815.0,1440.0,475.0,1330.0,570.0,215.0,590.0,235.0,2875.0,800.0,380.0,600.0
1512,missouri,howard,2747265,144030.0,17160.0,3815.0,15.0,710.0,170.0,6955.0,5195.0,4920.0,3370.0,3360.0,970.0,1910.0,2570.0,560.0,2395.0,1025.0,185.0,1300.0,865.0,7245.0,2145.0,980.0,1650.0
1513,missouri,howell,7327140,36180.0,64920.0,7820.0,185.0,2185.0,995.0,21580.0,10830.0,18870.0,9405.0,19110.0,3915.0,5220.0,14225.0,2005.0,9870.0,5060.0,870.0,3295.0,2980.0,21610.0,4250.0,4090.0,2405.0
1514,missouri,iron,3664170,190050.0,13620.0,2100.0,0.0,595.0,475.0,4405.0,4135.0,3890.0,2330.0,3175.0,1660.0,1245.0,2275.0,120.0,1945.0,1215.0,255.0,300.0,930.0,4850.0,965.0,475.0,1700.0
1515,missouri,jackson,182797420,356898.70000000036,1296295.0,142550.0,43230.0,25655.0,19485.0,558905.0,264580.0,445560.0,140080.0,206455.0,4590.0,106040.0,156565.0,52380.0,180970.0,86235.0,58240.0,137770.0,184030.0,337590.0,145525.0,86140.0,79505.0
1516,missouri,jasper,20269535,12265.0,211775.0,27300.0,580.0,6785.0,3135.0,72435.0,49975.0,65120.0,26870.0,49710.0,3320.0,17345.0,47170.0,8310.0,35280.0,14605.0,5885.0,9260.0,16770.0,59505.0,25715.0,15100.0,5845.0
1517,missouri,jefferson,38729985,1471072.5500000017,445965.0,56680.0,685.0,5265.0,4430.0,149590.0,88420.0,142290.0,81955.0,75185.0,2350.0,57995.0,68310.0,17540.0,63840.0,31715.0,11910.0,38775.0,51855.0,106135.0,40855.0,29755.0,16405.0
1518,missouri,johnson,8305020,433185.0,97570.0,14400.0,690.0,5575.0,920.0,31355.0,24620.0,26740.0,12240.0,17510.0,2675.0,9110.0,12690.0,2310.0,13085.0,5195.0,2060.0,5730.0,4410.0,30360.0,10605.0,4755.0,9480.0
1519,missouri,knox,1845835,96015.0,7330.0,1110.0,0.0,435.0,175.0,2955.0,1615.0,1765.0,1600.0,1835.0,2045.0,580.0,880.0,265.0,1140.0,700.0,150.0,375.0,285.0,2050.0,470.0,395.0,435.0
1520,missouri,laclede,5538105,288109.9,62360.0,9870.0,80.0,1145.0,1190.0,15490.0,13385.0,18125.0,8690.0,22075.0,2595.0,4740.0,19770.0,1750.0,10945.0,4895.0,930.0,3155.0,4520.0,12760.0,4820.0,3015.0,3870.0
1521,missouri,lafayette,6462260,31635.149999999998,61920.0,9850.0,170.0,1430.0,2205.0,21485.0,13485.0,18425.0,12310.0,14915.0,2605.0,7235.0,12550.0,3060.0,8435.0,4625.0,1275.0,4780.0,4930.0,17605.0,5595.0,3875.0,4050.0
1522,missouri,lawrence,6463485,164635.15,66470.0,9735.0,125.0,2280.0,355.0,22680.0,14040.0,17370.0,11745.0,18065.0,3625.0,7455.0,16235.0,2605.0,8975.0,5295.0,1035.0,3335.0,4275.0,19220.0,4995.0,4115.0,2735.0
