,County,Hispanic,White,Black,Native,Asian,Pacific,Poverty,ChildPoverty,Professional,Service,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,eff_score,minsPerVote
54,denton,19.159854014598533,60.83868613138689,8.790510948905109,0.2671532846715329,8.020437956204379,0.06934306569343067,9.726277372262773,11.747445255474455,43.99197080291971,14.778102189781015,1.0664233576642341,1.3751824817518246,1.3627737226277374,6.360583941605837,27.649635036496353,82.30583941605839,11.829927007299268,5.698540145985401,0.16277372262773726,5.577372262773722,1.1672356982404708,70.03414189442825
55,dickens,26.4,66.9,6.1,0.2,0.0,0.0,20.1,24.8,41.5,15.6,0.0,6.2,2.8,6.1,16.1,59.0,31.2,9.5,0.3,13.6,0.8517350157728707,51.10410094637224
56,donley,10.5,82.5,5.25,0.65,0.4,0.05,17.55,32.15000000000001,34.25,24.15,0.0,4.45,1.15,9.1,23.4,55.45,29.95,14.6,0.0,3.3000000000000003,0.3874439461883408,23.246636771300448
57,duval,88.06666666666668,10.4,0.8666666666666666,0.26666666666666666,0.4,0.0,23.4,35.26666666666666,18.1,24.33333333333333,0.0,5.7,1.9666666666666668,3.1,28.133333333333336,75.86666666666666,17.266666666666666,6.533333333333334,0.3666666666666667,10.633333333333333,1.7534246575342465,105.20547945205479
58,eastland,16.22,79.88000000000002,2.3,0.18,0.26,0.0,18.34,20.78,29.32,21.26,0.06,1.6800000000000002,0.8,3.22,19.96,76.53999999999998,14.4,8.32,0.74,4.54,0.318232044198895,19.0939226519337
59,ector,56.475000000000016,36.82857142857143,4.2785714285714285,0.29999999999999993,0.7607142857142856,0.0035714285714285718,13.603571428571431,17.15357142857143,22.75714285714286,15.87857142857143,0.5928571428571427,1.1178571428571429,0.5142857142857143,2.260714285714285,20.924999999999994,82.34285714285714,10.639285714285718,6.878571428571429,0.1392857142857143,5.117857142857141,0.4522743003408512,27.136458020451073
60,edwards,51.0,48.8,0.2,0.1,0.0,0.0,10.8,20.8,22.7,20.9,0.0,5.7,7.2,16.5,23.2,57.2,23.0,19.7,0.0,4.9,0.6189821182943603,37.13892709766162
61,ellis,25.00967741935484,63.906451612903226,8.632258064516131,0.27096774193548384,0.5451612903225808,0.029032258064516123,12.541935483870967,17.03870967741935,30.758064516129032,14.841935483870966,0.3451612903225807,0.5516129032258064,0.8290322580645161,4.96774193548387,28.554838709677423,78.57741935483871,13.9741935483871,7.390322580645161,0.05806451612903225,6.238709677419355,0.6689093908699619,40.13456345219772
62,erath,20.487500000000004,76.3125,1.075,0.4375,0.6124999999999999,0.0,23.1125,22.1875,29.15,18.3,0.2625,2.5875000000000004,1.2,3.8375,21.100000000000005,76.99999999999999,14.5,8.4875,0.025,4.3375,0.1970355906629981,11.822135439779887
63,falls,21.9,51.46666666666667,25.116666666666664,0.05000000000000001,0.23333333333333334,0.05,21.816666666666666,31.33333333333333,25.21666666666667,21.55,2.3833333333333333,2.8000000000000003,2.333333333333333,2.95,24.78333333333333,70.43333333333334,21.53333333333333,7.7666666666666675,0.25,7.466666666666666,0.0,0.0
64,fannin,9.322222222222225,80.93333333333331,6.322222222222222,0.2888888888888889,0.5666666666666668,0.04444444444444445,17.411111111111108,22.077777777777783,30.91111111111111,16.966666666666665,0.04444444444444445,1.2888888888888888,1.2888888888888888,5.033333333333334,29.711111111111123,73.35555555555554,19.366666666666667,7.155555555555557,0.1111111111111111,6.488888888888888,0.4238550627132491,25.431303762794943
65,fayette,16.514285714285716,76.0,6.9,0.028571428571428574,0.1,0.028571428571428574,11.214285714285712,13.742857142857144,24.07142857142857,16.685714285714287,0.17142857142857146,1.6428571428571428,1.0285714285714285,4.714285714285714,24.414285714285718,76.22857142857143,13.471428571428573,10.057142857142855,0.2857142857142857,2.228571428571429,1.9943315443526504,119.65989266115902
66,floyd,55.25,40.40000000000001,2.5,0.05,0.1,0.0,22.15,37.5,29.65,15.65,0.0,2.3,0.55,6.050000000000002,15.05,72.55,17.6,9.75,0.1,7.75,0.036272040302267,2.17632241813602
