,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64
480,Jackson,MS,143277,51979,55272,8811,17517,19153,18872,13578,8343,815,143277,105199,31903,1748,4331,0,5905,14789,22850,18549
276,DeSoto,MS,182001,62381,69255,11060,23602,25707,26011,13793,7009,2171,182001,124125,54315,446,3688,0,4597,22538,28871,21239
780,Forrest,MS,75036,25800,30285,9394,9630,9334,7734,6342,2829,1195,75036,45691,28825,0,928,193,0,8672,11780,8126
52,Rankin,MS,153902,54991,61257,9759,21186,23510,19083,14472,6828,2160,153902,116320,33354,901,2397,0,2059,17624,20450,18830
582,Madison,MS,105630,35680,40780,6239,13361,14248,13695,8831,3191,1736,105630,62226,41186,0,3021,0,0,14302,15753,14274
161,Jones,MS,68461,24194,26191,2869,9091,9159,7348,7153,3347,1375,68461,46556,20578,0,0,0,1005,9566,10049,8504
51,Lee,MS,85202,28803,32820,4817,10965,11913,10612,6900,4082,1115,85202,58022,25307,0,504,0,0,11887,11921,10990
283,Flathead,MT,102106,39282,39725,5214,11606,13114,12023,12612,5943,1403,102106,97772,495,2660,1996,0,889,11617,12718,15856
483,Cascade,MT,81643,31870,31477,5717,11977,9545,9049,8401,4664,1940,81643,74596,1997,5519,1431,0,1406,10163,9125,11062
782,Gallatin,MT,111876,45143,42140,13273,17798,15339,11384,9244,4076,1108,111876,107994,1013,2499,2678,0,713,11990,14817,12847
387,Yellowstone,MT,160137,59334,61850,9693,21688,19937,18952,15657,7564,3942,160137,149536,2395,10327,2071,0,1408,19901,21180,21623
386,Missoula,MT,118791,46369,48305,11310,19597,15362,13362,11313,5416,1528,118791,113099,1028,4402,3090,709,1159,11796,14591,14516
385,Lewis and Clark,MT,68700,25976,27339,3860,8269,8523,8413,7994,2861,1813,68700,66130,504,2453,794,0,310,7434,9225,10308
791,Robeson,NC,131831,45236,50403,8731,16865,16135,15868,12367,5164,2330,131831,37951,33042,55026,1024,0,7512,18279,19079,17013
792,Rockingham,NC,90690,32588,36137,4530,11092,9479,12091,10751,5492,2390,90690,69145,18397,1003,387,0,4259,8616,12160,14089
790,Mecklenburg,NC,1093901,344449,395844,71303,186303,160122,147265,76140,33649,12802,1093901,599945,367410,9831,76652,1001,71235,145752,139934,120631
601,Henderson,NC,116748,41403,48743,5186,10673,11901,17240,16862,9816,3661,116748,108412,5548,864,1758,0,2037,11661,13024,16724
66,Cumberland,NC,332330,119035,122152,33010,56920,38739,36195,23590,12868,3700,332330,180752,136373,10217,14643,2917,10916,46439,45781,35088
67,Guilford,NC,533670,177084,208990,38375,73398,65553,70507,47619,22257,10598,533670,304206,189995,7021,31449,210,18258,62772,75726,66865
68,Wake,NC,1092305,364232,399554,69280,160749,162889,156345,79867,34402,12571,1092305,733635,244091,15388,91254,2375,53451,138587,153210,124405
494,Alamance,NC,166436,55706,66045,10860,19797,19543,21867,16087,8933,3361,166436,118344,34522,1681,3373,0,12224,20121,24067,21800
496,Catawba,NC,158652,56780,60464,8346,19279,19311,21972,16899,8115,3006,158652,130034,15762,550,7347,0,8528,17392,21831,22501
497,Cleveland,NC,97645,35343,39684,5511,11705,10310,13519,10584,5439,2074,97645,72026,21715,372,1190,0,3000,11257,13359,13887
498,Johnston,NC,202675,67409,71962,11036,25117,28200,30653,17262,6999,3135,202675,159769,35524,2791,2412,0,7056,26947,29402,23924
499,Moore,NC,98682,35482,39901,4064,10991,10670,12663,12691,7840,3053,98682,83778,11430,1349,1860,0,1073,11060,12327,13323
500,Orange,NC,146027,49401,57299,17035,16522,16375,18987,13577,6204,972,146027,112353,18389,2846,13384,0,3518,13722,25053,17580
501,Union,NC,235908,76836,82648,14593,22323,31786,38293,18134,8736,2920,235908,195927,30489,1697,8817,0,4480,29082,41917,28124
603,Wayne,NC,123248,41470,45101,8724,17363,13948,14766,12178,6341,1988,123248,81415,40271,0,4009,205,1456,14338,17573,16029
599,Caldwell,NC,82029,31264,32784,4306,10058,9187,11582,9563,4469,2011,82029,74699,5341,0,616,0,3444,9653,8556,12644
600,Durham,NC,316739,103199,120538,22327,57668,44590,38870,25580,12133,4202,316739,174507,118602,2383,19372,0,11567,37937,37167,36265
602,Rowan,NC,141262,50218,54814,7360,16403,18653,18800,14426,7569,2601,141262,111742,24209,2127,1888,0,4964,15422,20914,19114
65,Cabarrus,NC,211342,70015,79142,11245,26666,30120,31063,16885,8252,3071,211342,155649,43697,0,9710,952,8727,27455,32118,24467
495,Burke,NC,90382,35025,36270,4540,10969,11433,12359,10041,6304,1702,90382,79014,6699,1310,3469,0,1794,9164,9747,14123
789,Carteret,NC,69524,26848,29123,2933,7179,7071,9412,10770,5072,1613,69524,64835,4959,452,1194,0,0,6114,7809,11551
395,Chatham,NC,73139,26008,28593,3925,6599,7622,10501,10282,4754,2840,73139,59929,9800,0,1710,0,2824,7666,8331,10619
292,Buncombe,NC,259103,95850,109280,14897,34995,34717,33705,30369,13941,7511,259103,235881,18347,2772,4533,653,3043,25478,27120,36370
293,Forsyth,NC,379099,123190,146884,25400,49298,45203,50182,35754,17520,7111,379099,255460,107529,4426,10782,0,11263,44994,54062,49575
294,Nash,NC,94016,33322,37652,5191,10855,12078,12270,10666,4925,1855,94016,50649,39079,2136,0,0,3975,10866,11676,13634
295,Onslow,NC,197683,83755,64067,32441,35575,20559,16593,10427,5999,1610,197683,159074,35116,4771,7743,1300,5444,31221,27451,15807
296,Wilkes,NC,68557,25292,27384,3793,7752,7306,9768,8390,5008,1297,68557,63862,3948,0,471,0,1437,7406,7617,10220
399,Wilson,NC,81455,27398,33148,3801,9536,9674,9937,8875,4428,1501,81455,42744,34729,932,809,0,5080,10386,11887,11430
291,Brunswick,NC,136744,53321,60444,5691,11840,11715,16092,29382,11578,2703,136744,118627,15728,1547,0,0,1908,10590,13089,24064
398,Randolph,NC,143351,49618,54336,8060,17266,17396,19837,14752,8003,2452,143351,124950,10084,2386,2709,0,7562,16542,18473,20570
396,Craven,NC,102912,39084,38951,9253,13584,10691,11932,11039,6919,1630,102912,74988,23908,503,3995,659,1597,14061,11002,12801
182,Rutherford,NC,66826,24570,27658,3425,6990,7328,8748,8191,4586,1281,66826,57548,7602,665,0,0,2102,7199,8449,10629
178,Davidson,NC,166614,59651,64292,9029,19836,20018,24049,18009,9393,2636,166614,144374,16922,1596,3610,0,3355,19236,20463,23945
179,Franklin,NC,67560,24586,26285,3630,8682,8159,9379,7716,2967,950,67560,46233,18319,0,602,0,4078,6897,9017,10163
180,Gaston,NC,222846,79006,87384,12823,29309,27999,32289,21405,10339,3645,222846,175659,41523,4093,5071,0,4819,28176,27464,29397
181,New Hanover,NC,232274,88129,98532,22465,31629,28018,28715,25026,11501,4952,232274,192578,34905,2302,5099,0,2387,22586,27651,29731
397,Harnett,NC,134214,45765,47419,8640,20122,18632,16693,10179,5482,1380,134214,97438,31361,2531,2754,1818,5947,19865,18597,14624
701,Pitt,NC,179914,62143,75660,21238,26668,21651,19768,14375,6856,2309,179914,106436,65361,1323,5184,0,5378,20513,26992,19544
183,Surry,NC,71948,26314,28408,4147,8280,7526,10467,8344,4758,1964,71948,66362,3172,0,0,0,1896,7675,9221,9566
